created_at,entry_id,temperature,humidity
2017-08-04 08:53:41 UTC,1,30.00,"44.00

"
2017-08-04 08:54:03 UTC,2,30.00,"48.00

"
2017-08-04 08:54:25 UTC,3,30.00,"49.00

"
2017-08-04 08:54:48 UTC,4,30.00,"52.00

"
2017-08-04 08:55:09 UTC,5,30.00,"51.00

"
2017-08-04 08:55:32 UTC,6,30.00,"51.00

"
2017-08-04 08:55:54 UTC,7,30.00,"51.00

"
2017-08-04 08:56:34 UTC,8,30.00,"54.00

"
2017-08-04 08:57:01 UTC,9,30.00,"54.00

"
2017-08-04 08:57:23 UTC,10,30.00,"57.00

"
2017-08-04 08:57:55 UTC,11,30.00,"56.00

"
2017-08-04 08:58:17 UTC,12,30.00,"51.00

"
2017-08-04 08:58:39 UTC,13,30.00,"49.00

"
2017-08-04 08:59:01 UTC,14,30.00,"49.00

"
2017-08-04 08:59:24 UTC,15,30.00,"49.00

"
2017-08-04 08:59:49 UTC,16,30.00,"47.00

"
2017-08-04 09:00:17 UTC,17,30.00,"44.00

"
2017-08-04 09:00:41 UTC,18,31.00,"42.00

"
2017-08-04 09:01:03 UTC,19,31.00,"41.00

"
2017-08-04 09:01:25 UTC,20,31.00,"43.00

"
2017-08-04 09:01:46 UTC,21,32.00,"43.00

"
2017-08-04 09:02:08 UTC,22,32.00,"42.00

"
2017-08-04 09:02:32 UTC,23,32.00,"42.00

"
2017-08-04 09:03:02 UTC,24,32.00,"51.00

"
2017-08-04 09:03:30 UTC,25,32.00,"39.00

"
2017-08-04 09:04:35 UTC,26,32.00,"55.00

"
2017-08-04 09:06:15 UTC,27,30.00,"44.00

"
2017-08-04 09:11:43 UTC,28,30.00,"50.00

"
2017-08-04 09:17:42 UTC,29,29.00,"55.00

"
2017-08-04 09:18:10 UTC,30,29.00,"54.00

"
2017-08-04 09:18:31 UTC,31,29.00,"52.00

"
2017-08-04 09:20:18 UTC,32,29.00,"51.00

"
2017-08-04 09:20:43 UTC,33,29.00,"52.00

"
2017-08-04 09:25:35 UTC,34,29.00,"56.00

"
2017-08-04 09:25:55 UTC,35,29.00,"55.00

"
2017-08-04 09:40:20 UTC,36,27.00,"55.00

"
2017-08-04 09:54:58 UTC,37,27.00,"56.00

"
2017-08-04 10:09:32 UTC,38,27.00,"56.00

"
2017-08-04 10:24:09 UTC,39,27.00,"55.00

"
2017-08-04 10:38:46 UTC,40,28.00,"56.00

"
2017-08-04 10:53:24 UTC,41,28.00,"56.00

"
2017-08-04 11:08:00 UTC,42,28.00,"56.00

"
2017-08-04 11:22:39 UTC,43,28.00,"56.00

"
2017-08-04 11:37:17 UTC,44,28.00,"57.00

"
2017-08-04 11:51:53 UTC,45,28.00,"57.00

"
2017-08-04 12:06:32 UTC,46,28.00,"57.00

"
2017-08-04 13:44:57 UTC,47,28.00,"58.00

"
2017-08-04 13:59:36 UTC,48,28.00,"55.00

"
2017-08-04 14:14:12 UTC,49,29.00,"55.00

"
2017-08-04 14:28:49 UTC,50,28.00,"55.00

"
2017-08-04 14:43:32 UTC,51,28.00,"55.00

"
2017-08-04 14:58:05 UTC,52,28.00,"56.00

"
